ReturnDate,TerritoryKey,ProductKey,ReturnQuantity,
1/18/2017,9,312,1,
1/18/2017,10,310,1,
1/21/2017,8,346,1,
1/22/2017,4,311,1,
2/2/2017,6,312,1,
2/15/2017,1,312,1,
2/19/2017,9,311,1,
2/24/2017,8,314,1,
3/8/2017,8,350,1,
3/13/2017,9,350,1,
3/14/2017,4,346,1,
3/15/2017,9,340,1,
3/22/2017,4,311,1,
3/26/2017,10,312,1,
3/28/2017,7,312,1,
3/28/2017,9,314,1,
3/29/2017,9,311,1,
4/1/2017,8,311,1,
4/7/2017,9,311,1,
4/7/2017,9,351,1,
4/9/2017,9,311,1,
4/10/2017,9,326,1,
4/15/2017,9,312,1,
4/16/2017,9,349,1,
4/20/2017,9,310,1,
4/21/2017,9,312,1,
4/25/2017,4,324,1,
4/27/2017,1,314,1,
4/29/2017,6,310,1,
4/29/2017,9,348,1,
4/30/2017,8,330,1,
5/1/2017,4,312,1,
5/6/2017,9,324,1,
5/7/2017,9,351,1,
5/13/2017,1,310,1,
5/14/2017,7,313,1,
5/16/2017,6,313,1,
5/16/2017,7,313,1,
5/22/2017,9,314,1,
5/24/2017,8,322,1,
5/30/2017,1,313,1,
5/30/2017,4,314,1,
6/5/2017,4,313,1,
6/7/2017,4,342,1,
6/20/2017,9,347,1,
6/24/2017,9,320,1,
7/3/2017,4,373,1,
7/11/2017,8,387,1,
7/22/2017,8,379,1,
8/14/2017,6,377,1,
8/15/2017,1,377,1,
8/15/2017,8,328,1,
8/26/2017,4,387,1,
8/28/2017,4,370,1,
8/31/2017,10,373,1,
9/3/2017,9,369,1,
9/10/2017,1,354,1,
10/3/2017,1,352,1,
10/7/2017,9,352,1,
10/8/2017,10,354,1,
10/12/2017,9,379,1,
10/13/2017,9,352,2,
10/23/2017,9,354,1,
10/25/2017,8,334,1,
10/27/2017,6,368,1,
10/28/2017,8,373,1,
10/30/2017,7,370,1,
11/16/2017,8,379,1,
11/20/2017,8,360,1,
11/23/2017,9,326,1,
11/24/2017,1,330,1,
11/27/2017,10,320,1,
12/1/2017,10,356,1,
12/4/2017,4,324,1,
12/5/2017,6,389,1,
12/6/2017,10,360,1,
12/10/2017,9,334,1,
12/11/2017,9,375,1,
12/12/2017,8,377,1,
12/12/2017,9,362,1,
12/12/2017,9,379,1,
12/14/2017,9,377,1,
12/16/2017,4,377,1,
12/18/2017,4,352,1,
12/25/2017,8,389,1,
1/7/2018,9,362,1,
1/9/2018,8,373,1,
1/10/2018,9,381,1,
1/16/2018,7,371,1,
1/23/2018,4,332,1,
1/23/2018,9,354,1,
1/26/2018,9,330,1,
1/31/2018,4,360,1,
2/1/2018,1,354,1,
2/12/2018,9,330,1,
2/14/2018,4,381,1,
2/20/2018,9,328,1,
2/20/2018,9,377,1,
2/22/2018,8,369,1,
2/22/2018,9,362,1,
2/25/2018,9,370,1,
3/8/2018,9,352,1,
3/12/2018,1,336,1,
3/18/2018,7,370,1,
3/20/2018,9,360,1,
3/21/2018,6,330,1,
3/24/2018,7,330,1,
3/29/2018,9,375,1,
3/31/2018,7,368,1,
4/1/2018,8,373,1,
4/4/2018,7,387,1,
4/13/2018,8,362,1,
4/25/2018,1,320,1,
4/27/2018,4,373,1,
5/1/2018,1,322,1,
5/1/2018,9,352,1,
5/3/2018,9,370,1,
5/11/2018,7,352,1,
